province,year,month,form,count,capital_subscribed
Madrid,2011,4,SL,1385,118932296
Málaga,2011,4,SL,280,16754982
Murcia,2011,4,SL,208,7281304
Navarra,2011,4,SL,84,2719461
Ourense,2011,4,SL,24,117292
Asturias,2011,4,SL,105,2338800
Palencia,2011,4,SL,15,1492478
"Palmas, Las",2011,4,SL,131,1803270
Pontevedra,2011,4,SL,134,2002670
Salamanca,2011,4,SL,37,1285058
Santa Cruz de Tenerife,2011,4,SL,114,1090660
Cantabria,2011,4,SL,73,1043641
Segovia,2011,4,SL,20,161863
Sevilla,2011,4,SL,274,6919639
Soria,2011,4,SL,6,51222
Tarragona,2011,4,SL,87,1718560
Teruel,2011,4,SL,8,113227
Toledo,2011,4,SL,75,2404361
València / Valencia,2011,4,SL,379,5376943
Valladolid,2011,4,SL,93,1576901
Bizkaia,2011,4,SL,122,7241370
Zamora,2011,4,SL,18,312294
Zaragoza,2011,4,SL,104,2725362
Ceuta,2011,4,SL,7,62366
Melilla,2011,4,SL,2,6600
Araba / Álava,2011,4,Otras,0,0
Albacete,2011,4,Otras,0,0
Alacant / Alicante,2011,4,Otras,0,0
Almería,2011,4,Otras,0,0
Ávila,2011,4,Otras,0,0
Badajoz,2011,4,Otras,1,0
Illes Balears,2011,4,Otras,0,0
Barcelona,2011,4,Otras,7,36000
Burgos,2011,4,Otras,0,0
Cáceres,2011,4,Otras,2,3010
Cádiz,2011,4,Otras,0,0
Castelló / Castellón,2011,4,Otras,0,0
Ciudad Real,2011,4,Otras,0,0
Córdoba,2011,4,Otras,1,3000
"Coruña, A",2011,4,Otras,1,3100
Cuenca,2011,4,Otras,0,0
Girona,2011,4,Otras,3,3030
Granada,2011,4,Otras,1,14916
Guadalajara,2011,4,Otras,0,0
Gipuzkoa,2011,4,Otras,0,0
Huelva,2011,4,Otras,1,31000
Huesca,2011,4,Otras,0,0
Jaén,2011,4,Otras,0,0
León,2011,4,Otras,0,0
Lleida,2011,4,Otras,0,0
"Rioja, La",2011,4,Otras,0,0
Lugo,2011,4,Otras,0,0
Madrid,2011,4,Otras,7,23600
Málaga,2011,4,Otras,1,700
Murcia,2011,4,Otras,0,0
Navarra,2011,4,Otras,0,0
Ourense,2011,4,Otras,0,0
Asturias,2011,4,Otras,0,0
Palencia,2011,4,Otras,0,0
"Palmas, Las",2011,4,Otras,7,205458
Pontevedra,2011,4,Otras,0,0
Salamanca,2011,4,Otras,0,0
Santa Cruz de Tenerife,2011,4,Otras,2,23812
Cantabria,2011,4,Otras,2,3001
Segovia,2011,4,Otras,0,0
Sevilla,2011,4,Otras,2,6110
Soria,2011,4,Otras,0,0
